spotify_id,name,uri,artist,acousticness,danceability,energy,instrumentalness,tempo,valence
0GTs3nKRHQ6ESpxHIuG8qn,How Far I'll Go - Alessia Cara Version,spotify:track:0GTs3nKRHQ6ESpxHIuG8qn,Alessia Cara,0.163,0.31,0.54,0.000129,180.994,0.148
5Okx9dFvMsWB0QkSINEbvP,Prologue,spotify:track:5Okx9dFvMsWB0QkSINEbvP,Mark Mancina,0.18,0.356,0.571,0.857,152.588,0.138
0KhdjaHVcBnePkK3HK0mZO,He Was You,spotify:track:0KhdjaHVcBnePkK3HK0mZO,Mark Mancina,0.851,0.0999,0.0763,0.722,88.968,0.0357
5KXUBcCRn0ZHhhGWxR65OE,Village Crazy Lady,spotify:track:5KXUBcCRn0ZHhhGWxR65OE,Mark Mancina,0.975,0.512,0.102,0.838,155.888,0.295
6UlG6c9VPMP36fn24u2yFj,Cavern,spotify:track:6UlG6c9VPMP36fn24u2yFj,Mark Mancina,0.919,0.198,0.069,0.898,102.344,0.0317
5cW95bx9sez0wZiIRaoW3U,The Ocean Chose You,spotify:track:5cW95bx9sez0wZiIRaoW3U,Mark Mancina,0.622,0.223,0.156,0.921,46.112,0.0352
1ltvdW6JeQsVQVY6mozg1U,Tala's Deathbed,spotify:track:1ltvdW6JeQsVQVY6mozg1U,Mark Mancina,0.939,0.193,0.0398,0.84,75.691,0.0394
1CexgzSA8rnKdXjtvny408,Climbing,spotify:track:1CexgzSA8rnKdXjtvny408,Mark Mancina,0.896,0.693,0.203,0.914,89.963,0.176
72gXnj6WuQAMFDr1RUYDjW,Tamatoa's Lair,spotify:track:72gXnj6WuQAMFDr1RUYDjW,Mark Mancina,0.663,0.255,0.238,0.841,140.311,0.0569
6Rw3WFi3tEZ4oB6RNLmAEQ,Great Escape,spotify:track:6Rw3WFi3tEZ4oB6RNLmAEQ,Mark Mancina,0.489,0.438,0.707,0.52,86.335,0.436
7o7h4NcqbBdufwXEHHpQnk,If I Were the Ocean,spotify:track:7o7h4NcqbBdufwXEHHpQnk,Mark Mancina,0.948,0.0637,0.00846,0.123,68.576,0.0376
7vMQOFx0cq5Bk2Al0QqcBQ,Te Ka Attacks,spotify:track:7vMQOFx0cq5Bk2Al0QqcBQ,Mark Mancina,0.564,0.334,0.901,0.895,127.897,0.145
6dS9KrviO6rtitxJ32Lj8e,Heartache,spotify:track:6dS9KrviO6rtitxJ32Lj8e,Mark Mancina,0.991,0.17,0.05,0.951,124.618,0.0646
03KCv9rMHOPZ8BvNLat6If,Tala Returns,spotify:track:03KCv9rMHOPZ8BvNLat6If,Mark Mancina,0.81,0.281,0.075,0.698,44.998,0.0397
1PN4QHT0I75N6X7wW0VsN6,Voyager Tagaloa,spotify:track:1PN4QHT0I75N6X7wW0VsN6,Mark Mancina,0.208,0.63,0.818,0.00877,112.125,0.173
4C56obFkxRHbqpmypKBwdz,The Return to Voyaging,spotify:track:4C56obFkxRHbqpmypKBwdz,Mark Mancina,0.492,0.556,0.624,0.655,112.723,0.223
4M74hNG0hiHShN5OlllMDZ,Seb'rapa Jauh Ku Melangkah - Bahasa Indonesia Version,spotify:track:4M74hNG0hiHShN5OlllMDZ,Maudy Ayunda,0.523,0.584,0.359,0,83.686,0.113
2RtYH6WXe7Vy3qCUQf17l4,How Far I'll Go - Philippines Version,spotify:track:2RtYH6WXe7Vy3qCUQf17l4,Janella Salvador,0.458,0.478,0.475,0,83.379,0.0749
6hvxcMQoLlkzy9F1XxXWQ7,Where You Are - Demo,spotify:track:6hvxcMQoLlkzy9F1XxXWQ7,Lin-Manuel Miranda,0.776,0.739,0.649,0,118.055,0.749
6lSNKxKTnUoj5BfysQFby1,Village Crazy Lady - Score Demo,spotify:track:6lSNKxKTnUoj5BfysQFby1,Mark Mancina,0.965,0.526,0.1,0.835,156.011,0.434
1UrcWbh6scusuJCGL0mlrl,Cavern - Score Demo,spotify:track:1UrcWbh6scusuJCGL0mlrl,Mark Mancina,0.659,0.233,0.0269,0.881,51.99,0.0299
4qaMtA1cIzs8EKjtTV243w,My Mom,spotify:track:4qaMtA1cIzs8EKjtTV243w,Eminem,0.295,0.812,0.88,0,90.098,0.778
17YuvYM8TxXY5wwuwc08HH,Hello,spotify:track:17YuvYM8TxXY5wwuwc08HH,Eminem,0.149,0.862,0.936,0,96.0,0.718
6vlGd51dgyw3AZwth5N7f8,Paul - Skit,spotify:track:6vlGd51dgyw3AZwth5N7f8,Eminem,0.953,0.779,0.403,0,84.573,0.419
24GOQWPgxldQNSUIcBFoYE,Deja Vu,spotify:track:24GOQWPgxldQNSUIcBFoYE,Eminem,0.208,0.7,0.873,0,84.023,0.571
1WzBBLq9MD0H7G3wBL96tk,Steve Berman - Skit,spotify:track:1WzBBLq9MD0H7G3wBL96tk,Eminem,0.587,0.762,0.445,0,95.286,0.755
4QVOTT9CM2ftSLwnYGNDjd,Stan,spotify:track:4QVOTT9CM2ftSLwnYGNDjd,Eminem,0.0375,0.781,0.74,2.27e-06,80.056,0.527
1MYlx4dBtiyjn7K8YSyfzT,The Real Slim Shady,spotify:track:1MYlx4dBtiyjn7K8YSyfzT,Eminem,0.0331,0.947,0.655,0,104.485,0.787
1h45qrpHTHLlbCGSr8QQEA,Stan,spotify:track:1h45qrpHTHLlbCGSr8QQEA,Eminem,0.218,0.658,0.84,0,80.063,0.6
0792oROt8nGAOKNtrrWvAi,Dead Wrong,spotify:track:0792oROt8nGAOKNtrrWvAi,The Notorious B.I.G.,0.216,0.68,0.867,0.00236,82.132,0.813
00WB8iObyyothyu4W3BTqa,Shit On You,spotify:track:00WB8iObyyothyu4W3BTqa,D12,0.0804,0.687,0.744,0,109.529,0.748
4rc9kQ6qyssElIccFJgbJb,My Name Is,spotify:track:4rc9kQ6qyssElIccFJgbJb,Eminem,0.0427,0.882,0.678,0,85.491,0.809
6KqKg8IPuvtDB3PNAvffFf,Shake That,spotify:track:6KqKg8IPuvtDB3PNAvffFf,Eminem,0.0543,0.964,0.642,3.68e-05,107.006,0.547
6AnfqcIa7IyrCMtgh5P6Wc,Like Toy Soldiers,spotify:track:6AnfqcIa7IyrCMtgh5P6Wc,Eminem,0.0219,0.655,0.762,0.000446,82.656,0.368
7wFmQutRb7XUDo2mlftXa2,Cleanin' Out My Closet,spotify:track:7wFmQutRb7XUDo2mlftXa2,Eminem,0.0772,0.905,0.767,0,147.983,0.871
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,Joel Adams,0.0118,0.513,0.768,1.94e-05,84.264,0.235
1p0ziArbexSnA0FK2bhEsu,Technicolour Beat,spotify:track:1p0ziArbexSnA0FK2bhEsu,Oh Wonder,0.596,0.595,0.352,3.43e-05,130.11,0.0712
1hZpNz5FqVxGk0hJg0xe3R,Can't Say You Won't,spotify:track:1hZpNz5FqVxGk0hJg0xe3R,Korbee,0.937,0.151,0.325,6.62e-05,37.783,0.157
7FuiConhfXv0hAo4jwItIm,Say You Want Me,spotify:track:7FuiConhfXv0hAo4jwItIm,Lostboycrow,0.0408,0.752,0.71,0.000424,99.985,0.76
27iN5bZsAXWk6sQMIBi9JI,Turn It Up,spotify:track:27iN5bZsAXWk6sQMIBi9JI,Pixie Lott,0.173,0.778,0.604,0,106.02,0.863
2gFvRmQiWg9fN9i74Q0aiw,24K Magic,spotify:track:2gFvRmQiWg9fN9i74Q0aiw,Bruno Mars,0.034,0.818,0.803,0,106.97,0.632
1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,James Arthur,0.693,0.4,0.564,0,99.269,0.483
3eGMFRdSlTAaLH64Jp7mG9,心太軟,spotify:track:3eGMFRdSlTAaLH64Jp7mG9,Richie Jen,0.127,0.702,0.536,0,92.317,0.395
7mauRaccD3RaEWdW2SPzPj,梁山伯與茱麗葉,spotify:track:7mauRaccD3RaEWdW2SPzPj,Gary Chaw,0.78,0.666,0.574,0,120.019,0.659
02T2R6fMzSZq4pRXtW94rH,隱形的翅膀,spotify:track:02T2R6fMzSZq4pRXtW94rH,Angela Chang,0.677,0.44,0.37,0,143.962,0.163
5O0DUjMHz749ClAXQ3I96U,隱形的翅膀 - 張韶涵成名曲,spotify:track:5O0DUjMHz749ClAXQ3I96U,彭芳,0.554,0.376,0.357,1.14e-06,144.082,0.222
2w10KTR2qs7uPx3iL0rKIG,Paper Hearts,spotify:track:2w10KTR2qs7uPx3iL0rKIG,Tori Kelly,0.865,0.462,0.235,0,139.113,0.227
6LBfozDVA7crIeuaPAVVlE,You'll Be In My Heart,spotify:track:6LBfozDVA7crIeuaPAVVlE,Phil Collins,0.0549,0.568,0.746,3.66e-06,96.626,0.626
